physical_channel_number,transport_stream_id,original_network_id,service_id,service_name
24,32741,32741,1064,テレビ朝日
161,16401,4,163,
24,32741,32741,1448,テレビ朝日
531,18098,4,233,
211,16528,4,211,
256,18034,4,256,
151,16400,4,152,
26,32737,32737,1034,ＮＨＫＥテレ３東京
236,18033,4,236,ＢＳアニマックス
245,18258,4,245,
191,16432,4,792,
22,32739,32739,1049,ＴＢＳ２
192,17488,4,192,
25,32738,32738,1424,日本テレビ
16,32391,32391,23993,ＭＸワンセグ２
171,16433,4,172,
241,18097,4,840,
30,32327,32327,28088,チバテレ携帯
243,18226,4,243,
531,18098,4,531,
21,32740,32740,1058,フジテレビ
102,16625,4,707,
241,18097,4,241,
202,17520,4,202,
28,32744,32744,1088,放送大学１
32,32295,32295,29752,テレ玉１
27,32736,32736,1024,ＮＨＫ総合１・東京
23,32742,32742,1072,テレビ東京1
30,32327,32327,27704,チバテレ１
181,16593,4,183,
24,32741,32741,1065,テレビ朝日
151,16400,4,153,
103,16626,4,103,
102,16625,4,701,
244,18257,4,244,
141,16592,4,143,
22,32739,32739,1048,ＴＢＳ１
255,18289,4,255,
171,16433,4,171,
193,17489,4,193,
238,18096,4,238,
16,32391,32391,23608,ＴＯＫＹＯ　ＭＸ１
18,32375,32375,25016,ｔｖｋワンセグ１
23,32742,32742,1073,テレビ東京2
32,32295,32295,29753,テレ玉２
26,32737,32737,1032,ＮＨＫＥテレ１東京
24,32741,32741,1066,テレビ朝日
161,16401,4,161,
531,18098,4,231,
200,16529,4,800,
103,16626,4,104,
26,32737,32737,1416,ＮＨＫ携帯２
258,18290,4,258,
102,16625,4,700,
191,16432,4,191,
141,16592,4,142,
171,16433,4,777,
222,16530,4,222,
32,32295,32295,29754,テレ玉３
16,32391,32391,23609,ＴＯＫＹＯ　ＭＸ１
21,32740,32740,1056,フジテレビ
23,32742,32742,1074,テレビ東京3
21,32740,32740,1440,フジテレビ
25,32738,32738,1041,日テレ２
27,32736,32736,1025,ＮＨＫ総合２・東京
181,16593,4,181,
102,16625,4,102,
28,32744,32744,1090,放送大学３
531,18098,4,232,
251,18288,4,251,
161,16401,4,162,
26,32737,32737,1033,ＮＨＫＥテレ２東京
200,16529,4,200,
23,32742,32742,1456,テレビ東京携帯
141,16592,4,141,
151,16400,4,151,
16,32391,32391,23992,ＭＸワンセグ１
171,16433,4,173,
191,16432,4,791,
234,18224,4,234,
252,18256,4,252,イマジカＢＳ・映画
22,32739,32739,1432,ＴＢＳ
28,32744,32744,1089,放送大学２
25,32738,32738,1040,日テレ１
16,32391,32391,23610,ＴＯＫＹＯ　ＭＸ２
21,32740,32740,1057,フジテレビ
202,17520,4,201,
102,16625,4,101,
30,32327,32327,27705,チバテレ２
181,16593,4,182,
242,18225,4,242,
32,32295,32295,30136,テレ玉携帯
103,16626,4,910,
