network_name,network_id_min,network_id_max
PerfecTV!サービス,0x0001,0x0001
DIRECTV,0x0002,0x0002
SKYサービス,0x0003,0x0003
BSデジタル放送,0x0004,0x0004
U-Satellite放送,0x0005,0x0005
e2_CS1（広帯域CSデジタル放送）,0x0006,0x0006
e2_CS2（広帯域CSデジタル放送）,0x0007,0x0007
アクセステレビジョンネットワーク,0x0008,0x0008
SPACE_DiVA,0x0009,0x0009
スカパー！HD（高度狭帯域CSデジタル放送）,0x000A,0x000A
モバイル放送,0x0100,0x0100
マルチメディア放送,0x0200,0x0200
"IPBC_ぷらら,IPBC_ＫＤＤＩ,IPBC_ＳＢ（ＩＰＴＶフォーラム・ＩＰ放送）",0x7780,0x778F
地上デジタルテレビジョン放送,0x7880,0x7FE8
地上デジタル放送ネットワークにおけるケーブルテレビ事業者の自主放送,0x7C1F,0x7F5F
東京Seg#1～Seg#8（地上デジタル音声放送）,0x8090,0x8097
大阪Seg#1～Seg#8（地上デジタル音声放送）,0x8098,0x809F
福岡ユビキタス特区マルチメディア放送実験,0x8371,0x8371
福岡ユビキタス特区マルチメディア放送実験,0x8380,0x8380
デジタルラジオ・ローカルサービス,0x83FF,0x83FF
連動型データ放送活用ビデオオンデマンドサービス（BML-VOD）,0xFFFB,0xFFFB
アナログ・デジタルシステム変換,0xFFFC,0xFFFC
JC-HITSトランスモジュレーション,0xFFFD,0xFFFD
デジタル放送リマックス,0xFFFE,0xFFFE
鹿児島有線テレビジョン,0xFFFF,0xFFFF
